org,new
fiscalizacién,fiscalización
comisién,comisión
fraccién,fracción
aplicacién,aplicación
constitucién,Constitución
afio,año 
informacién,información
revisién,revisión
consideracién,consideración
fracci6n,fracción
documentacién,documentación
fiscalizaci6n,fiscalización
revisi6n,revisión
evaluacién,evaluación
verificé,verificó
documentaci6n,documentación
sefialado,señalado
obligacién,obligación
érgano,órgano
situacién,situación
comisi6n,comisión
elaboracién,elaboración
revis6,revisó
auditorfa,auditoria
periddico,periódico 
verific6,verificó
elaboré,elaboró
aprobacién,aprobación
6rgano,órgano
revisidn,revisión
pdlizas,pólizas
constituci6n,Constitución
discusi6n,discusión
integracién,integración
participacién,participación
contabilizacién,contabilización
comprobacién,comprobación
sefiala,señala
coordinacién,coordinación
verificd,verificó
andlisis,análisis
variacién,variación
salén,salón
sefialar,señalar
derivé,derivó
relacién,relación
solventacién,solventación
realiz6,realizó
fraccidn,fracción
conciliacién,conciliación
publicacién,publicación
aplicaci6n,aplicación
consideraci6n,consideración
determind,determinó
disminucién,disminución
presenté,presentó
utilizacién,utilización
discusién,discusión
emisién,emisión
dafio,daño
federacién,federación
fracciédn,fracción
evaluaci6n,evaluación
comisiédn,comisión
inversién,inversión
situaci6n,situación
amortizacién,amortización
pélizas,pólizas
pronéstico,pronóstico
sefalado,señalado
contabilizaci6n,contabilización
gestién,gestión
determinacién,determinación
procedié,procedió
arrojé,arrojó
amortizaci6n,amortización
realizé,realizó
constitucton,Constitución
remitid,remitió
fiscalizé,fiscalizó
relaci6n,relación
sefala,señala
6érgano,órgano
efectué,efectuó
valoraci6n,valoración
representacién,representación
incrementen,incrementan
consistié,consistió
comisi6én ,comisión
egislatura ,legislatura 
obsefvadas,observadas
adquisicien,adquisición
unicipios,municipios
stado,estado
pbservadas,observadas
sefialaco,señalado
fhaciendo,haciendo
prestacien,prestación
codificacien,codificación
puublica,publica
desempenan,desempeñan
efectto,efecto
clasificacitn,clasificación
letectadas,detectadas
identificacien,identificación
pondiente,pendiente
ncrementarse,encrementarse
ptblicas,publicas
dajios,daños
drgano,órgano
desempefan,desempeñan
elabored,elaboró
dard,dara
atio,año
promulgaciin,promulgación
formuld,formuló
figcalizada,fiscalizada
ptblicos,publicos
econdmica ,economica
atto,año
promocién ,promoción
cog,con
tevisó,revisó
existid,existió
sefalar,señalar
fiscalizacié6n,fiscalización
contadurfa,contaduria
publicaci6n,publicación
actiie,actue
promociédn,promoción
atenci6n,atención
gestiédn,gestión
establecid,estableció
incrementdé,incrementó
dorgano,órgano
precisi6én,precisión
caradcter,caracter
0bservaciones,observaciones
variaci6n,variación
variacibn,variación
variacidn,variación
variacioén,variación
variacion,variación
variagién,variación
determinéd,determinó
determindéd,determinó
determiné ,determinó
administraci6n ,administración
informaci6n,información
tdcursos,recursos
poelizas,pólizas
disminucidn,disminución
rehabilitacien,rehabilitación
inspeccien,inspección
recdmendaciones,recomendaciones
